Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,severe_injuries,total_injuries,estimated_passengers,fatal_injury_rate,serious_injury_rate
2020-03-13,"Paquera, Province of Puntarenas, Philippines",Philippines,Airplane,PIPER,PA28,Fatal,Substantial,1.0,Unknown,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2020-03-14,"Scottsdale, AZ",United States,Airplane,Raytheon,HAWKER 800XP,Non-Fatal,Substantial,2.0,Turbo Fan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-14,"Lumberton, MS",United States,Airplane,Cessna,182,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-15,"Tepalcatepec, Michoacan, Mexico",Mexico,Airplane,PIPER,PA25,Fatal,Destroyed,1.0,Unknown,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2020-03-16,"Pinedale, WY",United States,Airplane,Piper,PA22,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.3333333333333333
2020-03-16,"Ebermannstadt, Germany",Germany,Airplane,CESSNA,177,Fatal,Destroyed,1.0,Unknown,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2020-03-17,"LaCrosse, KS",United States,Airplane,Cessna,208,Fatal,Destroyed,1.0,Turbo Prop,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2020-03-17,"West Palm Beach, FL",United States,Airplane,Cessna,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-17,"Conway, SC",United States,Airplane,Cirrus,SR22,Non-Fatal,Substantial,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-17,"Kahului, HI",United States,Airplane,Cessna,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
